Team,Span,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
India,2015-2019,85,56,27,2,0,2.074,43.98,5.71,85,392,92
England,2015-2019,77,53,23,1,0,2.304,40.84,6.25,77,481,113
South Africa,2015-2019,73,47,26,0,0,1.807,38.2,5.71,73,438,118
New Zealand,2015-2019,73,43,30,0,0,1.433,35.98,5.66,73,398,79
Pakistan,2015-2019,68,35,33,0,0,1.06,37.64,5.46,68,399,74
Afghanistan,2015-2019,57,32,24,1,0,1.333,26.87,4.72,57,338,58
Australia,2015-2019,68,32,36,0,0,0.888,34.15,5.72,68,378,142
Bangladesh,2015-2019,55,30,25,0,0,1.2,32.68,5.27,55,329,82
Sri Lanka,2015-2019,79,23,55,1,0,0.418,28.38,5.3,79,377,103
West Indies,2015-2019,58,17,39,2,0,0.435,27.44,5.13,58,389,104
