Team,Opponent,Span,Mat,Won,Lost,Tied,NR,W/LDescending,Ave,RPO,Inns,HS,LS
Bangladesh,Pakistan,2015-2018,4,4,0,0,0,-,50.42,6,4,329,239
New Zealand,West Indies,2017-2017,3,3,0,0,0,-,47,5.92,3,325,-
Afghanistan,Sri Lanka,2018-2018,1,1,0,0,0,-,24.9,4.98,1,249,249
Pakistan,Afghanistan,2018-2018,1,1,0,0,0,-,36.85,5.21,1,258,-
New Zealand,Pakistan,2016-2018,10,8,1,0,1,8,35.56,5.51,10,315,257
South Africa,Sri Lanka,2017-2019,16,14,2,0,0,7,44.97,6.27,16,384,121
England,Sri Lanka,2016-2018,10,6,1,1,2,6,43.95,6.27,10,324,-
New Zealand,Sri Lanka,2015-2019,8,6,1,0,1,6,54.27,6.96,8,371,-
Pakistan,West Indies,2016-2017,6,5,1,0,0,5,51.61,6,6,337,-
England,West Indies,2017-2019,13,9,2,0,2,4.5,45.14,6.59,12,418,113
Pakistan,Sri Lanka,2015-2017,11,9,2,0,0,4.5,44.15,5.44,11,316,203
Australia,Pakistan,2017-2017,5,4,1,0,0,4,42.14,6.06,5,369,220
Australia,Sri Lanka,2016-2016,5,4,1,0,0,4,31.67,5.02,5,228,206
South Africa,Australia,2016-2018,11,8,2,0,1,4,41.06,5.94,11,372,252
Sri Lanka,West Indies,2015-2016,5,4,1,0,0,4,32.24,5.68,5,330,165
India,Sri Lanka,2017-2017,9,7,2,0,0,3.5,54.11,6.03,9,392,112
New Zealand,Bangladesh,2016-2019,9,7,2,0,0,3.5,47.37,5.75,9,341,251
Afghanistan,West Indies,2017-2018,5,3,1,0,1,3,28.88,4.27,4,212,135
Australia,West Indies,2016-2016,4,3,1,0,0,3,38.95,5.36,4,283,-
England,Australia,2015-2018,16,12,4,0,0,3,36.76,5.97,16,481,138
England,Bangladesh,2016-2017,4,3,1,0,0,3,42.26,5.78,4,309,204
India,Pakistan,2017-2018,4,3,1,0,0,3,54.93,5.97,4,319,158
India,West Indies,2017-2018,10,6,2,1,1,3,52.35,5.93,10,377,178
England,Pakistan,2015-2017,10,7,3,0,0,2.333,44.62,5.78,10,444,211
India,New Zealand,2016-2019,13,9,4,0,0,2.25,39.33,5.38,13,337,92
Bangladesh,West Indies,2018-2018,6,4,2,0,0,2,50.03,5.48,6,301,-
India,Bangladesh,2015-2018,6,4,2,0,0,2,38.02,5.25,6,317,200
India,South Africa,2015-2018,12,8,4,0,0,2,43.1,5.69,12,303,224
South Africa,Bangladesh,2015-2017,6,4,2,0,0,2,45.39,5.76,6,369,162
West Indies,South Africa,2016-2016,3,2,1,0,0,2,26.15,5,3,285,204
England,New Zealand,2015-2018,11,7,4,0,0,1.75,39.43,6.73,11,408,234
South Africa,New Zealand,2015-2017,8,5,3,0,0,1.666,33.62,5.42,8,304,204
Australia,India,2016-2019,18,9,9,0,0,1,38.76,5.87,18,359,202
Australia,New Zealand,2016-2017,9,4,4,0,1,1,31.11,5.92,9,378,148
Bangladesh,Sri Lanka,2017-2018,7,3,3,0,1,1,26.25,5.16,6,324,82
England,India,2017-2018,6,3,3,0,0,1,44.92,6.41,6,366,268
England,South Africa,2016-2017,8,4,4,0,0,1,35.93,6.21,8,399,153
India,Australia,2016-2019,18,9,9,0,0,1,41.47,5.77,18,358,237
India,England,2017-2018,6,3,3,0,0,1,43.19,6.29,6,381,236
New Zealand,Australia,2016-2017,9,4,4,0,1,1,27.72,5.63,9,307,147
Pakistan,South Africa,2017-2019,6,3,3,0,0,1,38.64,5.18,6,317,203
South Africa,England,2016-2017,8,4,4,0,0,1,44.36,6.04,8,328,267
South Africa,Pakistan,2017-2019,6,3,3,0,0,1,42.8,5.01,6,266,164
Sri Lanka,Bangladesh,2017-2018,7,3,3,0,1,1,23.89,5.13,7,311,124
Afghanistan,Bangladesh,2016-2018,5,2,3,0,0,0.666,26.4,4.74,5,258,138
New Zealand,South Africa,2015-2017,8,3,5,0,0,0.6,31.23,5.07,8,289,112
New Zealand,England,2015-2018,11,4,7,0,0,0.571,34.76,5.84,11,398,198
Bangladesh,India,2015-2018,6,2,4,0,0,0.5,27.56,4.97,6,307,173
Bangladesh,South Africa,2015-2017,6,2,4,0,0,0.5,29.09,5.21,6,278,160
South Africa,India,2015-2018,12,4,8,0,0,0.5,29.27,5.46,12,438,118
South Africa,West Indies,2016-2016,3,1,2,0,0,0.5,29.83,5.01,3,343,185
West Indies,Bangladesh,2018-2018,6,2,4,0,0,0.5,29.26,4.79,6,283,271
New Zealand,India,2016-2019,13,4,9,0,0,0.444,26.34,5.15,13,331,79
Pakistan,England,2015-2017,10,3,7,0,0,0.428,32.05,5.31,10,304,188
Australia,England,2015-2018,16,4,12,0,0,0.333,31.88,5.72,16,310,205
Bangladesh,England,2016-2017,4,1,3,0,0,0.333,36.93,5.6,4,305,288
Pakistan,India,2017-2018,4,1,3,0,0,0.333,30.03,5.09,4,338,162
West Indies,Afghanistan,2017-2018,5,1,3,0,1,0.333,20.23,3.8,4,204,149
West Indies,Australia,2016-2016,4,1,3,0,0,0.333,25.76,5.03,4,282,116
West Indies,India,2017-2018,10,2,6,1,1,0.333,24.87,4.85,9,322,104
Bangladesh,New Zealand,2016-2019,9,2,7,0,0,0.285,28.31,5.08,9,271,184
Sri Lanka,India,2017-2017,9,2,7,0,0,0.285,28.39,5.04,9,322,207
Australia,South Africa,2016-2018,11,2,8,0,1,0.25,27.11,5.49,10,371,142
Pakistan,Australia,2017-2017,5,1,4,0,0,0.25,30.97,5.31,5,312,176
Sri Lanka,Australia,2016-2016,5,1,4,0,0,0.25,23.91,4.81,5,288,195
West Indies,Sri Lanka,2015-2016,5,1,4,0,0,0.25,24.67,5.7,5,329,214
Sri Lanka,Pakistan,2015-2017,11,2,9,0,0,0.222,25.4,4.87,11,368,103
West Indies,England,2017-2019,13,2,9,0,2,0.222,32.91,6.01,11,389,142
West Indies,Pakistan,2016-2017,6,1,5,0,0,0.2,26.44,4.97,6,309,172
Sri Lanka,England,2016-2018,10,1,6,1,2,0.166,33.19,5.78,9,366,202
Sri Lanka,New Zealand,2015-2019,8,1,6,0,1,0.166,27.62,5.61,7,326,117
Sri Lanka,South Africa,2017-2019,16,2,14,0,0,0.142,24.56,5.3,16,327,138
Pakistan,New Zealand,2016-2018,10,1,8,0,1,0.125,26.04,5.05,10,290,74
Afghanistan,India,2018-2018,1,0,0,1,0,0,31.5,5.04,1,252,-
Australia,Bangladesh,2017-2017,1,0,0,0,1,0,83,5.18,1,83,-
Bangladesh,Australia,2017-2017,1,0,0,0,1,0,18.2,4.08,1,182,182
India,Afghanistan,2018-2018,1,0,0,1,0,0,25.2,5.05,1,252,252
Afghanistan,Pakistan,2018-2018,1,0,1,0,0,0,42.83,5.14,1,257,-
Sri Lanka,Afghanistan,2018-2018,1,0,1,0,0,0,15.8,3.82,1,158,158
West Indies,New Zealand,2017-2017,3,0,3,0,0,0,16.71,4.63,3,248,121
Pakistan,Bangladesh,2015-2018,4,0,4,0,0,0,26.88,4.84,4,250,250
